mu,score,cross-score,beta_0,beta_1,beta_2
0.0,0.24454926545303346,nan,0.005672346150168317,-4.192786257450898e-05,1.9067691381380314e-07
0.1,0.48518293320084205,nan,0.005001369760570973,0.0018185651444099227,-7.357738468005692e-05
0.2,0.5693254169095023,nan,0.005760874533499827,0.002745232034326972,-9.920367392046714e-05
0.30000000000000004,0.6084951990928826,nan,0.006198747537813021,0.0034192186905119826,-0.00011727087702406713
0.4,0.6385778650334766,nan,0.006503355070102801,0.0039141107376431394,-0.00011636495695310778
0.5,0.6939550163578803,nan,0.00669717978843154,0.004421234932084794,-0.00012284500134618348
0.6000000000000001,0.7033163065903689,nan,0.0068858850614090805,0.004769097365929009,-0.00012136795985973059
0.7000000000000001,0.7269002268285658,nan,0.0070346802219538596,0.005051043181953263,-0.0001232709196492543
0.8,0.7388610915123264,nan,0.007147365278086237,0.005346807111434204,-0.00012497240528674958
0.9,0.7473964285274026,nan,0.0072746970043874315,0.005478912018654025,-0.00012312430124272744
1.0,0.7697228557783865,nan,0.007386942956730702,0.005534761803850707,-0.00012252064765005954
